time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,5
2023-03-28 00:00:00+00:00,7
2023-03-29 00:00:00+00:00,10
2023-03-30 00:00:00+00:00,13
2023-03-31 00:00:00+00:00,17
2023-04-01 00:00:00+00:00,23
2023-04-02 00:00:00+00:00,99
2023-04-03 00:00:00+00:00,349
2023-04-04 00:00:00+00:00,586
2023-04-05 00:00:00+00:00,848
2023-04-06 00:00:00+00:00,1131
2023-04-07 00:00:00+00:00,1436
2023-04-08 00:00:00+00:00,1711
2023-04-09 00:00:00+00:00,1960
2023-04-10 00:00:00+00:00,2275
2023-04-11 00:00:00+00:00,2692
2023-04-12 00:00:00+00:00,3646
2023-04-13 00:00:00+00:00,5335
2023-04-14 00:00:00+00:00,7251
2023-04-15 00:00:00+00:00,8549
2023-04-16 00:00:00+00:00,9616
2023-04-17 00:00:00+00:00,10964
2023-04-18 00:00:00+00:00,11891
2023-04-19 00:00:00+00:00,12564
2023-04-20 00:00:00+00:00,13158
2023-04-21 00:00:00+00:00,13656
2023-04-22 00:00:00+00:00,14063
2023-04-23 00:00:00+00:00,14677
2023-04-24 00:00:00+00:00,15994
2023-04-25 00:00:00+00:00,16967
2023-04-26 00:00:00+00:00,17590
2023-04-27 00:00:00+00:00,18420
2023-04-28 00:00:00+00:00,18927
2023-04-29 00:00:00+00:00,19230
2023-04-30 00:00:00+00:00,19505
2023-05-01 00:00:00+00:00,19779
2023-05-02 00:00:00+00:00,20054
2023-05-03 00:00:00+00:00,20362
2023-05-04 00:00:00+00:00,20696
2023-05-05 00:00:00+00:00,20980
2023-05-06 00:00:00+00:00,21273
2023-05-07 00:00:00+00:00,21496
2023-05-08 00:00:00+00:00,21721
2023-05-09 00:00:00+00:00,21911
2023-05-10 00:00:00+00:00,22104
2023-05-11 00:00:00+00:00,22263
2023-05-12 00:00:00+00:00,22407
2023-05-13 00:00:00+00:00,22522
2023-05-14 00:00:00+00:00,22654
2023-05-15 00:00:00+00:00,22799
2023-05-16 00:00:00+00:00,22933
2023-05-17 00:00:00+00:00,23064
2023-05-18 00:00:00+00:00,23191
2023-05-19 00:00:00+00:00,23304
2023-05-20 00:00:00+00:00,23401
2023-05-21 00:00:00+00:00,23480
2023-05-22 00:00:00+00:00,23648
2023-05-23 00:00:00+00:00,23762
2023-05-24 00:00:00+00:00,23874
2023-05-25 00:00:00+00:00,23993
2023-05-26 00:00:00+00:00,24106
2023-05-27 00:00:00+00:00,24189
2023-05-28 00:00:00+00:00,24258
2023-05-29 00:00:00+00:00,24341
2023-05-30 00:00:00+00:00,24427
2023-05-31 00:00:00+00:00,24511
2023-06-01 00:00:00+00:00,24565
2023-06-02 00:00:00+00:00,24637
2023-06-03 00:00:00+00:00,24713
2023-06-04 00:00:00+00:00,24769
2023-06-05 00:00:00+00:00,24866
2023-06-06 00:00:00+00:00,24948
2023-06-07 00:00:00+00:00,25015
2023-06-08 00:00:00+00:00,25088
2023-06-09 00:00:00+00:00,25150
2023-06-10 00:00:00+00:00,25193
2023-06-11 00:00:00+00:00,25249
